data_y_1,data_y_2,data_y_3,data_y_4,data_x_1,data_x_2,data_x_3,data_x_4
-234.6,-234.6,-87.85,-117.93,186.029,186.029,186.029,186.029
-234.6,-234.6,-87.85,-117.93,186.5,186.5,186.5,186.5
-234.6,-234.6,-87.85,-117.93,186.971,186.971,186.971,186.971
-241.38,-241.38,-121.75,-183.47,187.442,187.442,187.442,187.442
-105.79,-105.79,-65.25,-90.82,187.913,187.913,187.913,187.913
-123.87,-123.87,-124.01,-124.71,188.384,188.384,188.384,188.384
-62.85,-62.85,-69.77,-99.86,188.855,188.855,188.855,188.855
-35.73,-35.73,-78.81,-102.12,189.326,189.326,189.326,189.326
-180.36,-180.36,-99.15,-122.45,189.797,189.797,189.797,189.797
-80.93,-80.93,-22.32,-56.92,190.267,190.267,190.267,190.267
-62.85,-62.85,-20.06,-93.08,190.738,190.738,190.738,190.738
-15.4,-15.4,-33.61,-11.72,191.209,191.209,191.209,191.209
-6.36,-6.36,38.7,4.1,191.679,191.679,191.679,191.679
-74.15,-74.15,-33.61,-0.42,192.15,192.15,192.15,192.15
-28.95,-28.95,-8.76,-13.98,192.62,192.62,192.62,192.62
142.79,142.79,54.52,35.73,193.091,193.091,193.091,193.091
23.02,23.02,16.1,44.77,193.561,193.561,193.561,193.561
230.93,230.93,129.09,135.17,194.031,194.031,194.031,194.031
75.0,75.0,79.38,42.51,194.501,194.501,194.501,194.501
11.72,11.72,120.05,148.72,194.972,194.972,194.972,194.972
187.99,187.99,52.26,214.26,195.442,195.442,195.442,195.442
217.37,217.37,54.52,141.95,195.912,195.912,195.912,195.912
230.93,230.93,183.33,191.66,196.382,196.382,196.382,196.382
217.37,217.37,149.43,103.53,196.852,196.852,196.852,196.852
362.0,362.0,228.53,157.76,197.322,197.322,197.322,197.322
269.34,269.34,212.71,248.16,197.792,197.792,197.792,197.792
319.06,319.06,305.36,248.16,198.262,198.262,198.262,198.262
303.24,303.24,264.68,227.82,198.731,198.731,198.731,198.731
323.58,323.58,221.75,266.24,199.201,199.201,199.201,199.201
404.93,404.93,332.48,239.12,199.671,199.671,199.671,199.671
332.62,332.62,298.58,284.31,200.14,200.14,200.14,200.14
312.28,312.28,230.78,302.39,200.61,200.61,200.61,200.61
321.32,321.32,287.28,291.09,201.079,201.079,201.079,201.079
432.05,432.05,235.3,243.64,201.549,201.549,201.549,201.549
296.46,296.46,239.82,334.03,202.018,202.018,202.018,202.018
